_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,explain_your_choice_optional,vote_for_your_preferred_candidate,what_sound_does_a_kitty_cat_make,which_statement_would_candidate_a_agree_with_more,defense_a,defense_b,govt_jobs_a,govt_jobs_b,gun_control_a,gun_control_b,healthcare_a,healthcare_b,ideology_a,ideology_b,party_affiliation_a,party_affiliation_b,uuid_a,uuid_b
626163237,12/15/2014 08:06:34,1502673926,12/15/2014 08:05:58,false,prodege,0.912,1859054,USA,IL,Westmont,50.165.218.172,,Candidate B,meow,Candidate A would be indifferent between the two statements above.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 08:16:48,1502675532,12/15/2014 08:16:13,false,prodege,0.8333,9559045,USA,TX,Katy,107.204.186.172,,Candidate B,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 08:20:11,1502676060,12/15/2014 08:19:42,false,neodev,0.6068,22052203,USA,KS,Manhattan,68.102.24.68,caring,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 08:25:47,1502676830,12/15/2014 08:19:01,false,bitcoinget,0.7778,28503763,USA,CA,San Francisco,107.217.186.64,"candidate A is of ""other"" party, which isn't necessarily the democrats. health insurance isn't that important to me since my jobs provides a plan for me.",Candidate B,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 08:29:23,1502677491,12/15/2014 08:28:06,false,memolink,0.7778,6546042,USA,CA,National City,99.95.213.67,I hate Republicans. Reason enough for ya?!,Candidate A,meow,Candidate A would be indifferent between the two statements above.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 08:33:57,1502678201,12/15/2014 08:33:01,false,prodege,0.7222,3682947,USA,FL,Palm Bay,97.102.71.133,health care is vital for life,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 08:36:28,1502678698,12/15/2014 08:27:21,false,coinworker,0.8028,28779770,USA,TX,Dallas,162.251.112.110,i am liberal.,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 08:39:38,1502679364,12/15/2014 08:38:30,false,instagc,0.7917,30774743,USA,CA,Santa Ana,23.240.186.186,"Candidate A's politics are a good deal closer to my own than Candidate B's. I don't necessarily love Candidate A's beliefs, but s/he is a better choice than Candidate B.",Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 08:43:20,1502679984,12/15/2014 08:41:19,false,instagc,0.8032,16875541,USA,OH,Bellaire,12.161.202.232,,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 08:44:59,1502680389,12/15/2014 08:44:35,false,instagc,0.8296,13095205,USA,WI,Racine,65.28.174.198,,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 08:52:37,1502681867,12/15/2014 08:50:53,false,treasuretrooper,0.8371,2731688,USA,"","",172.56.11.158,I agree with this candidate because i am a staunch democrat.,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 09:06:56,1502684015,12/15/2014 09:05:51,false,instagc,0.8426,20602057,USA,VA,Richmond,71.176.222.78,,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 09:11:45,1502685220,12/15/2014 09:10:04,false,listia,0.7026,26868784,USA,CA,Oakley,50.136.169.0,the jobs stance was  the desider opther then that it was close,Candidate B,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 09:14:19,1502686137,12/15/2014 09:10:14,false,gifthunterclub,0.7771,29610072,USA,"","",66.85.148.53,"the ""A"" seems closer to the desire of the founding fathers and thus make government truly is the people, by the people and for the people",Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 09:19:00,1502687899,12/15/2014 09:17:50,false,prodege,0.758,2034278,USA,NJ,Toms River,24.0.73.168,Health care shouldn't be mandated.,Candidate B,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 09:19:34,1502688143,12/15/2014 09:18:13,false,prodege,0.8253,11998178,USA,MD,Baltimore,74.61.233.31,I tend to never vote for the republican (why isn't there a democrat running?,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 09:30:10,1502692546,12/15/2014 09:29:44,false,fusioncash,0.6662,22139728,USA,NY,Watertown,66.67.91.242,,Candidate A,meow,All citizens should purchase private health insurance.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 09:37:26,1502695712,12/15/2014 09:34:18,false,tremorgames,0.7331,27879633,USA,CA,Grass Valley,108.196.131.76,,Candidate B,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 09:37:54,1502695928,12/15/2014 09:37:28,false,tremorgames,0.7331,27879633,USA,CA,Grass Valley,108.196.131.76,,Candidate B,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 09:55:27,1502707762,12/15/2014 09:55:02,false,instagc,0.6951,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate A,meow,Candidate A would be indifferent between the two statements above.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 10:10:54,1502724300,12/15/2014 10:09:40,false,prodege,0.7737,28774264,USA,NY,New York,74.66.16.163,"I'm generally more liberal than the Democratic party, which means that in a two-party system my vote is more or less locked to the most liberal (if centrist) candidate.",Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 10:13:29,1502726875,12/15/2014 10:12:05,false,instagc,0.6755,18175286,USA,NC,High Point,174.98.149.102,,Candidate A,meow,Candidate A would be indifferent between the two statements above.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 10:16:36,1502729533,12/15/2014 10:14:24,false,prodege,0.8141,1868071,USA,TX,Austin,70.113.70.60,We are the only industrialized nation that does not provide health insurance for all our citizens. It is an outrage.,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 10:19:53,1502732299,12/15/2014 10:16:26,false,instagc,0.7923,14107845,USA,GA,Perry,71.28.7.23,,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163237,12/15/2014 10:20:38,1502733027,12/15/2014 10:19:54,false,instagc,0.7923,14107845,USA,GA,Perry,71.28.7.23,,Candidate A,meow,The government should provide health care for all citizens.,4,4,4,6,4,4,3,6,Slightly liberal,Slightly conservative,Other,Republican,3,4
626163238,12/15/2014 08:06:49,1502673985,12/15/2014 08:06:35,false,prodege,0.912,1859054,USA,IL,Westmont,50.165.218.172,,Candidate B,meow,Candidate A would be indifferent between the two statements above.,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
626163238,12/15/2014 08:17:28,1502675632,12/15/2014 08:16:48,false,prodege,0.8333,9559045,USA,TX,Katy,107.204.186.172,,Candidate A,meow,The government should provide health care for all citizens.,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
626163238,12/15/2014 08:28:55,1502677388,12/15/2014 08:25:49,false,bitcoinget,0.7778,28503763,USA,CA,San Francisco,107.217.186.64,we need to at least maintain current defense budget to remain competitive. Also I'd like to own some type of gun.,Candidate A,meow,The government should provide health care for all citizens.,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
626163238,12/15/2014 08:29:56,1502677557,12/15/2014 08:29:24,false,memolink,0.7778,6546042,USA,CA,National City,99.95.213.67,Why do I have to answer this question again?!,Candidate A,meow,Candidate A would be indifferent between the two statements above.,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
626163238,12/15/2014 08:30:44,1502677669,12/15/2014 08:28:56,false,bitcoinget,0.7778,28503763,USA,CA,San Francisco,107.217.186.64,I'd like to own a gun.,Candidate A,meow,The government should provide health care for all citizens.,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
626163238,12/15/2014 08:34:32,1502678360,12/15/2014 08:33:59,false,prodege,0.7222,3682947,USA,FL,Palm Bay,97.102.71.133,health care,Candidate B,meow,The government should provide health care for all citizens.,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
626163238,12/15/2014 08:38:10,1502678992,12/15/2014 08:36:30,false,coinworker,0.8028,28779770,USA,TX,Dallas,162.251.112.110,candidate b is more liberal.,Candidate B,meow,The government should provide health care for all citizens.,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
626163238,12/15/2014 08:40:28,1502679524,12/15/2014 08:39:39,false,instagc,0.7917,30774743,USA,CA,Santa Ana,23.240.186.186,Candidate B's politics pretty closely align with my own.,Candidate B,meow,The government should provide health care for all citizens.,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
626163238,12/15/2014 08:44:50,1502680355,12/15/2014 08:43:21,false,instagc,0.8032,16875541,USA,OH,Bellaire,12.161.202.232,,Candidate A,meow,The government should provide health care for all citizens.,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
626163238,12/15/2014 08:45:27,1502680423,12/15/2014 08:45:00,false,instagc,0.8296,13095205,USA,WI,Racine,65.28.174.198,,Candidate B,meow,The government should provide health care for all citizens.,4,2,4,2,4,1,3,2,Slightly liberal,Liberal,Other,Democrat,3,5
