uuid_A,Ideology_A,Party_affiliation_A,defense_A,healthcare_A,govt_jobs_A,gun_control_A,uuid_B,Ideology_B,Party_affiliation_B,defense_B,healthcare_B,govt_jobs_B,gun_control_B
0,Slightly liberal,Other,3,4,4,2,1,Liberal,Democrat,2,2,3,1
0,Slightly liberal,Other,3,4,4,2,2,Slightly conservative,Republican,4,6,5,2
0,Slightly liberal,Other,3,4,4,2,3,Slightly liberal,Other,4,3,4,2
0,Slightly liberal,Other,3,4,4,2,4,Slightly conservative,Republican,4,6,6,2
0,Slightly liberal,Other,3,4,4,2,5,Liberal,Democrat,2,2,2,1
1,Liberal,Democrat,2,2,3,1,0,Slightly liberal,Other,3,4,4,2
1,Liberal,Democrat,2,2,3,1,2,Slightly conservative,Republican,4,6,5,2
1,Liberal,Democrat,2,2,3,1,3,Slightly liberal,Other,4,3,4,2
1,Liberal,Democrat,2,2,3,1,4,Slightly conservative,Republican,4,6,6,2
1,Liberal,Democrat,2,2,3,1,5,Liberal,Democrat,2,2,2,1
2,Slightly conservative,Republican,4,6,5,2,0,Slightly liberal,Other,3,4,4,2
2,Slightly conservative,Republican,4,6,5,2,1,Liberal,Democrat,2,2,3,1
2,Slightly conservative,Republican,4,6,5,2,3,Slightly liberal,Other,4,3,4,2
2,Slightly conservative,Republican,4,6,5,2,4,Slightly conservative,Republican,4,6,6,2
2,Slightly conservative,Republican,4,6,5,2,5,Liberal,Democrat,2,2,2,1
3,Slightly liberal,Other,4,3,4,2,0,Slightly liberal,Other,3,4,4,2
3,Slightly liberal,Other,4,3,4,2,1,Liberal,Democrat,2,2,3,1
3,Slightly liberal,Other,4,3,4,2,2,Slightly conservative,Republican,4,6,5,2
3,Slightly liberal,Other,4,3,4,2,4,Slightly conservative,Republican,4,6,6,2
3,Slightly liberal,Other,4,3,4,2,5,Liberal,Democrat,2,2,2,1
4,Slightly conservative,Republican,4,6,6,2,0,Slightly liberal,Other,3,4,4,2
4,Slightly conservative,Republican,4,6,6,2,1,Liberal,Democrat,2,2,3,1
4,Slightly conservative,Republican,4,6,6,2,2,Slightly conservative,Republican,4,6,5,2
4,Slightly conservative,Republican,4,6,6,2,3,Slightly liberal,Other,4,3,4,2
4,Slightly conservative,Republican,4,6,6,2,5,Liberal,Democrat,2,2,2,1
5,Liberal,Democrat,2,2,2,1,0,Slightly liberal,Other,3,4,4,2
5,Liberal,Democrat,2,2,2,1,1,Liberal,Democrat,2,2,3,1
5,Liberal,Democrat,2,2,2,1,2,Slightly conservative,Republican,4,6,5,2
5,Liberal,Democrat,2,2,2,1,3,Slightly liberal,Other,4,3,4,2
5,Liberal,Democrat,2,2,2,1,4,Slightly conservative,Republican,4,6,6,2
